idiom,品詞,意味,頻出度
a day,熟語,１日につき,A
a few days,熟語,2～3日,A
a friend of mine,熟語,私の友人の１人,A
a good deal of,熟語,大量の～,A
a great deal of,熟語,大量の～,A
a piece of cake,熟語,～（人）の意思に反して,A
a variety of,熟語,いろいろの～,A
all of a sudden,熟語,突然,A
all the year round,熟語,一年中,A
along with,熟語,～と一緒に,A
as a matter of fact,熟語,実際のところは,A
as a result,熟語,結果として,A
as a result of,熟語,～の結果として,A
as if,熟語,まるで～のように,A
as soon as possible,熟語,できるだけ早く,A
as though,熟語,まるで～のように,A
at first,熟語,初めは,A
at least,熟語,少なくとも,A
at the cost of,熟語,～を犠牲にして,A
at the expense of,熟語,～を犠牲にして,A
back and forth,熟語,前後に、行ったり来たり,A
be about to,熟語,～するところである,A
be absorbed in,熟語,～に熱中する,A
be based on,熟語,～に基づいている,A
be crowded with,熟語,～で混雑している,A
be far from,熟語,決して～でない,A
be impressed with,熟語,～に感銘を受ける,A
be just about to,熟語,まさに～するところだ,A
be likely to,熟語,～しそうである,A
be made up of,熟語,～で構成される,A
be popular among,熟語,～に人気がある,A
be popular with,熟語,～に人気がある,A
be responsible for,熟語,～に責任がある,A
be right back,熟語,すぐに戻って来る,A
be similar to,熟語,～に似ている,A
be suited for,熟語,～に適している,A
be superior to,熟語,～より優れている,A
be through with,熟語,～を終える,A
be willing to,熟語,進んで～する,A
because of,熟語,～のせいで,A
break down,熟語,故障する,A
break into,熟語,～に押し入る,A
bring up,熟語,～を育てる,A
burst into laughter,熟語,突然笑い出す,A
burst into tears,熟語,突然泣き出す,A
burst out doing,熟語,突然～し始める,A
by accident,熟語,偶然に,A
by mistake,熟語,誤って、間違って,A
call for,熟語,～を要求する,A
call off,熟語,～を中止する,A
call up,熟語,～に電話をかける,A
calm down,熟語,落ち着く,A
carry out,熟語,～を実行する,A
catch up with,熟語,～に追いつく,A
change one's mind,熟語,考えを変える,A
come across,熟語,～に偶然出会う,A
come true,熟語,実現する,A
consist of,熟語,～から成り立っている,A
deal with,熟語,～を扱う,A
do well,熟語,成績がよい,A
do without,熟語,～なしですます,A
due to,熟語,～のせいで,A
end up with,熟語,結局～で終わる,A
every other day,熟語,一日おきに,A
every other month,熟語,１ヶ月おきに,A
every other week,熟語,1週間おきに,A
every other year,熟語,1年おきに,A
figure out,熟語,理解する,A
find out,熟語,～を見つけ出す,A
get along with,熟語,～と仲良くやっていく,A
get over,熟語,～を克服する,A
get rid of,熟語,～を取り除く,A
go bad,熟語,腐る,A
go through,熟語,～を経験する,A
hand in,熟語,～を提出する,A
in a hurry,熟語,急いで,A
in advance,熟語,あらかじめ,A
in common,熟語,共通して,A
in effect,熟語,実際には、実施されて,A
in mind,熟語,心の中で,A
in one's twenties,熟語,２０代の時に,A
in order to do,熟語,～するために,A
in search of,熟語,～を探して,A
in spite of,熟語,～にもかかわらず,A
in terms of,熟語,～の観点から,A
in the first place,熟語,まず第一に,A
in the long run,熟語,長い目で見れば,A
keep up with,熟語,～についていく,A
look after,熟語,～の世話をする,A
look for,熟語,～を探す,A
look forward to,熟語,～を楽しみに待つ,A
look into,熟語,～を調べる,A
look like,熟語,～のように見える,A
look over,熟語,～に目を通す,A
look up to,熟語,～を尊敬する,A
make efforts,熟語,努力する,A
make fun of,熟語,～をからかう,A
make oneself at home,熟語,くつろぐ,A
make out,熟語,～を理解する,A
make room for,熟語,～に場所をあける,A
make sense,熟語,意味をなす,A
make sure,熟語,確かめる,A
make sure that,熟語,～を確認する,A
now and then,熟語,時々,A
on one's way home,熟語,家へ帰る途中で,A
on purpose,熟語,わざと,A
on the average,熟語,平均して,A
on the other hand,熟語,もう一方では,A
on time,熟語,時間どおりに,A
once a week,熟語,週一回,A
once in a while,熟語,ときどき,A
one another,熟語,お互いに,A
rely on,熟語,～に頼る,A
run into,熟語,～に偶然出会う,A
run out of,熟語,～がなくなる,A
run over,熟語,～を（車で）ひく,A
someone else,熟語,他の誰か,A
stay up late,熟語,夜更かしする,A
take a look,熟語,ちょっと見てみる,A
take advantage of,熟語,～を利用する,A
take off,熟語,離陸する,A
thanks to,熟語,～のおかげで,A
that is,熟語,つまり,A
to one's surprise,熟語,驚いたことに,A
upside down,熟語,逆さまに,A
why don't you,熟語,～しませんか,A
