select,〜を選ぶ
evacuate,〜を避難させる
hide,隠れる/隠す
deliver,〜を配達する
encourage,～を励ます
participate,参加する
attach,〜を添付する
perceive,～を知覚する
apply,あてはまる
affect,〜に影響する
arrange,〜を並べる•盛りつける
detect,～を感知する
associate,〜を結び付けて考える
confirm,～を確認する
ignore,～を無視する
fascinate,〜を魅了する
melt,溶ける
exist,存在する
found,〜を設立する
establish,～を確立する
persuade,〜を説得する
cooperate,協力する
admit,〜を認める
suffer,苦しむ
advise,〜にアドバイスする
succeed,成功する
launch,〜を打ち上げる
illustrate,〜を説明する
stretch,〜を伸ばす
expect,～を予想する
remain,〜にとどまる
float,浮かぶ
announce,〜と発表する
sink,沈む
shiver,震える
reply,〜と返答する
achieve,～を達成する
tend,傾向がある
declare,～を宣言する
overcome,〜を乗り越える
require,〜を必要とする
avoid,〜を避ける
stew,〜を煮込む
mix,〜を混ぜ合わせる
sail,船で行く•航海する
import,～を輸入する
export,～を輸出する
adopt,〜を採用する
invent,〜を発明する•考案する
suppose,〜だろうと思う
differ,異なる
consider,〜をよく考える
limit,〜を制限する
prevent,～を防ぐ•妨げる
bully,〜をいじめる
belong,所属する
insist,〜だと主張する.
adjust,～を適合させる
escape,〜を逃れる
solve,〜を解決する
strike,襲う
rob,〜から奪う•〜を襲う
exclaim,〜と叫ぶ
demand,～を要求する
blame,〜を非難する
frown,顔をしかめる
steal,～を盗む
rush,大急ぎで行く
sigh,ため息をつく
register,～を登録する
fruity,フルーティーな
salty,塩辛い
sour,すっぱい
bitter,にがい
sensitive,敏感な
identical,まったく同じ
noisy,騒々しい
general,一般的な
sticky,ねばねばする
raw,生の
advanced,進歩した
artificial,人工の
modern,現代の
dim,薄暗い
charismatic,カリスマ的な
low-income,低所得の
non-profit,非営利の
educational,教育の
severe,深刻な
distinguished,優れた
promising,有望な
stationary,静止した
tough,丈夫な
huge,莫大な
fossil,化石の
eco-friendly,環境に優しい
elderly,年配の
Turkish,トルコの
stormy,暴風の
steep,(傾斜が)険しい
eastern,東の
wet,濡れた
crescent,三日月形の
old-fashioned,旧式の
wooden,木造の
repeated,繰り返される
relieved,安心した
scared,怖がって
mental,精神の
uneasy,不安な
female,女性の
engaged,従事して
major,主な
helpful,役に立つ
verbal,言語の
upright,直立した
physical,物理的な
opposite,正反対の
open-minded,心が広い
honest,実な
Greek,ギリシャの
negative,悪い、よくない
universal,万国共通の
polite,礼儀正しい
Asian,アジアの
facial,顔の
unconscious,無意識の
effective,効果的な
aware,気づいて
certain,ある〜
civil,市民の
fierce,激しい
influential,影響力のある
neighboring,隣の
meaningless,無意味な
helpless,無力な
courageous,勇気のある
scientific,科学の
shaped,〜形をした
mixed,ミックスした
artistic,芸術的な
inspire,〜を奮起させる
flow,流れる
offer,〜を提供する(o)
seem,〜のように思われる
accompany,～に同行する
calm,〜を落ち着かせる
supervise,〜を監督する
ease,〜を和らげる
provide,〜を提供する(p)
conduct,〜を行う
manage,～を成し遂げる
enhance,～を高める
retire,引退する
fulfill,〜を果たす
relieve,～を和らげる
enclose,～を同封する
convey,～を伝える
communicate,〜を伝える
lean,体を傾ける
narrow,〜を狭める/目を細める
told,〜を組む
misunderstand,〜を誤解する
greet,～に挨拶する
press,〜を押しつける
stick,〜を突き出す
regard,〜を…とみなす
spit,唾を吐く
entertain,〜を楽しませる
lift,〜を持ち上げる
bump,〜をぶつける
upload,〜をアップロードする
broadcast,～を放送する
deprive,〜から奪う
stare,じっと見つめる
shut,～を閉じる
explode,爆発する
familiar,身近な
regular,レギュラーの
successful,成功した
vivid,鮮明な
extreme,極端な、極度の
various,さまざまな
ideal,理想的な
based,～を基にした
flavored,〜の風味をつけた
stiff,堅い
native,その土地固有の
religious,宗教の
plain,普段着の
recent,最近の
usual,通常の
unusual,普通でない
average,平均の
clever,賢明な
brave,勇敢な
responsible,責任のある
fragile,壊れやすい
humid,湿気の多い
Celsius,摂氏の
coastal,沿岸の
central,中央の
annua,一年間の
unique,独特の
dense,密集した
animated,アニメの
mysterious,神秘的な
suitable,適した
medical,医療の
operating,手術用の
appropriate,適切な
proper,適切な
