reply,～に返答する
achieve,～を達成する
tend,傾向がある
declare,～を宣言する
overcome,～を乗り越える
require,～を必要とする
avoid,～を避ける
stew,～を煮込む
mix,～を混ぜ合わせる
sail,船で行く、航海する
import,～を輸入する
export,～を輸出する
adopt,～を採用する
invent,～を発明する・考案する
suppose,～だろうと思う
differ,異なる
consider,～をよく考える
limit,～を制限する
prevent,～を防ぐ・妨げる
bully,～をいじめる
belong,所属する
insist,～だと主張する
adjust,～を適合させる
escape,～を逃れる
solve,～を解決すうｒ
strike,襲う
rob,～から奪う・～を襲う
exclaim,～と叫ぶ
demand,～を要求する・～を問いただす
blame,～を非難する・～（の責任）を負わせる
frown,顔をしかめる
steal,～を盗む
rush,大急ぎで行く・突進する
sigh,ため息をつく
register,～を登録する
inspire,～を奮起させる・～にインスピレーションを与える
flow,流れる
offer,～を提供する
seem,～のように思われる・～のように見える
accompany,～に同行する
calm,～を落ち着かせる
supervise,～を監督する
ease,～（不安など）を和らげる
provide,～を提供するｐ
conduct,～を行う
manage,～を管理する
enhance,～（価値・質など）を高める
retire,引退する
fulfill,～（任務など）を果たす
relieve,～（不安・苦痛など）を和らげる
enclose,～を同封する
convey,～を伝える
communicate,コミュニケーションを取る
lean,体を預ける
narrow,～を狭める・（目）を細める
fold,～（腕など）を組む
misunderstand,～を誤解する
greet,～に挨拶する
press,～を押す
stick,<stick～outで>～を突き出す
regard,～を（…）とみなす
spit,唾（つば）を吐きかける
entertain,～を楽しませる
lift,～を持ち上げる
bump,～をぶつける
upload,～（データなど）をアップロードする
broadcast,～を放送する・配信する
deprive,～から奪う・～を襲う
stare,じっと見つめる
shut,～を閉じる
explode,爆発する
select,～を運ぶ
evacuate,～を避難させる・退避する
hide,隠れる・～を隠す
deliver,～を配達する
encourage,～を励ます
participate,参加する
attach,～を添付する・～を取りつける
perceive,～を知覚する
apply,あてはめる
affect,～に影響する
arrange,～を並べる・盛りつける
detect,～を感知する
associate,～を結び付けて考える
confirm,～を確認する
ignore,～を無視する
fascinate,～を魅了する
melt,溶ける
exist,存在する
found,～を設立する
establish,～を創立する
persuade,～を説得する
cooperate,協力する
admit,～を認める・～を入れることを認める
suffer,苦しむ
advise,～にアドバイスする
succeed,成功する
launch,～を打ち上げる
illustrate,～（例・図などで）を説明する
stretch,～を伸ばす
expect,～を予想する
remain,～にとどまる
float,浮かぶ
announce,～と発表する
sink,沈む
shiver,震える
